"","EGFR","IGFR","SOS","Ras","PI3K","AKT","Raf","Mek","Erk"
"223",34.6204145934232,5.40835391294468,70,61,65,47,46,82,91
"224",42.7715549414915,5.14261150713566,70,59,68,50,43,81,89
"225",37.2113199589422,4.89636098164043,70,61,65,53,45,83,91
"226",38.4078401089398,5.70193263692871,70,68,74,63,40,83,86
"227",36.7304437177879,6.04073413925934,70,51,67,67,27,81,95
"228",39.6824548946305,5.04912982976762,70,68,74,55,39,77,90
"229",35.8788703660257,6.754302674533,70,58,70,61,41,78,89
"230",43.7747557096336,5.05221281811076,70,68,71,64,45,80,91
"231",41.719305340645,2.93369248906565,70,59,67,51,41,85,91
"232",31.1370348065076,4.62937855045571,70,61,71,52,39,83,90
"233",35.1420326986,6.69308269356899,70,62,70,51,41,80,89
"234",36.9101568141444,6.15030963071281,70,61,71,60,42,82,89
"235",31.8350247342798,4.89538618595228,70,68,60,61,41,84,88
"236",33.8396296018599,4.48431150748002,70,68,77,65,40,68,85
"237",35.2880125497972,6.52367539233351,70,62,73,58,42,84,88
"238",38.448143184038,4.67412250127112,70,56,74,56,36,73,88
"239",37.287771677232,6.25083755089769,70,58,64,50,41,76,86
"240",35.2364806271542,5.65132368527441,70,58,65,62,40,81,90
"241",36.7546598922217,5.09210407609221,70,59,67,62,46,79,92
"242",45.6652547635995,4.93616787184284,70,60,73,58,32,70,90
"243",40.518476058408,4.16395508175673,70,64,78,57,43,76,86
"244",38.6489296614914,6.72874451432447,70,55,73,62,39,84,91
"245",39.3373135300138,4.03291697821887,70,60,59,45,43,84,92
"246",35.3046062475851,5.56635890632894,70,48,69,53,47,80,92
"247",37.3088628573879,4.54937890123243,70,60,58,53,39,84,92
"248",37.8445645395528,3.90211885885338,70,60,72,63,36,78,84
"249",35.5767064788304,3.74539180986506,70,63,63,64,44,80,92
"250",35.6259873790093,7.15667892207815,70,58,71,53,40,81,89
"251",38.5046295177599,5.34020110692364,70,65,64,61,42,83,90
"252",35.7846118719875,5.53702271802427,70,59,66,59,39,69,88
"253",36.4678432293292,5.958403208413,70,60,65,52,42,81,89
"254",36.0413662929576,6.42177980813989,70,67,69,56,45,81,92
"255",39.5303511769123,4.83373895286116,70,61,66,55,35,77,91
"256",38.4509699477468,5.78824301800379,70,66,68,63,41,78,92
"257",36.0889895569356,4.37374333236941,70,56,72,49,43,83,92
"258",36.1447117108292,7.00945359610155,70,57,66,64,37,72,91
"259",39.9413100323829,6.48125353853947,70,52,69,58,37,84,92
"260",36.4860415931205,5.16474888002112,70,58,69,51,48,80,85
"261",41.0290394246713,5.74235339410417,70,59,65,61,47,77,95
"262",36.7049246947054,4.23553199189737,70,55,73,59,41,78,85
"263",36.0340135606184,6.4614512586786,70,65,61,53,40,74,85
"264",31.2557964966456,3.64590361161427,70,53,68,57,46,80,85
"265",35.0588758205426,3.78214452457843,70,62,63,50,47,84,91
"266",32.8016894593945,6.43851940267339,70,53,70,51,45,81,92
"267",42.7935228079414,7.6890046998286,70,63,62,51,47,78,93
"268",38.3847168779441,6.39010727981053,70,63,69,53,41,84,90
"269",38.5823162396647,6.10192418258703,70,52,59,52,43,80,93
"270",36.8899261812187,4.72829473396486,70,48,67,56,48,79,91
"271",28.8394959170298,6.15223751238935,70,67,61,53,47,79,90
"272",36.8586234523878,5.72033481906844,70,48,67,56,43,82,91
"273",37.0142094147853,5.06455210829675,70,68,71,60,48,82,84
"274",33.324088770187,4.93029093174031,70,55,66,62,34,76,90
"275",37.7527756462858,6.19479764733255,70,50,68,65,38,75,92
"276",41.8155998106173,3.86540896293925,70,58,70,57,32,77,87
"277",36.8934403678466,6.06484166247858,70,60,59,54,45,83,93
"278",40.0882542713322,5.05114100089972,70,61,67,57,33,77,90
"279",35.7998712443435,5.80779243145309,70,61,63,66,43,81,89
"280",37.201729645978,6.34188539918939,70,57,72,58,35,79,93
"281",43.1074235658434,4.44933131781123,70,61,71,60,48,87,85
"282",38.9485564179438,5.63372518922889,70,59,66,57,35,75,87
"283",40.8380545904011,4.6751724250156,70,59,69,53,42,79,89
"284",35.1154019883973,5.84614518659475,70,62,69,51,39,87,87
"285",41.0509960700737,5.0170413878429,70,62,69,60,40,82,88
"286",42.0177699289462,4.67447737126511,70,52,65,54,33,81,82
"287",40.5181886723354,4.11420586100585,70,56,62,61,47,86,91
"288",37.0185368097744,4.66860296489619,70,61,66,68,35,72,95
"289",40.9165366594832,4.98947810722962,70,64,58,54,38,82,92
"290",36.7210395032373,6.4333550933214,70,56,69,61,43,76,86
"291",33.6137505509115,4.24558935701251,70,54,60,54,30,70,90
"292",38.762039155803,5.4961936225036,70,60,63,55,33,83,90
"293",37.2674916445693,4.13203802421035,70,55,71,67,33,80,87
"294",36.3011067242376,4.88844995170415,70,68,72,56,43,82,87
"295",41.4633276378931,5.19947351107364,70,50,68,57,37,79,91
"296",35.9377202169988,3.35453157272247,70,62,72,57,48,84,90
"297",38.255945274902,5.78599150550297,70,57,72,58,39,82,86
"298",30.7076933802467,4.84707038906751,70,52,71,61,46,84,84
"299",32.8885594573298,3.43698827323987,70,61,69,55,39,74,90
"300",34.9466114301296,3.93031505937198,70,60,71,67,39,85,88
